Distrito Geografico,Nombre Escuela,Tipo Proyecto,Categoria Proyecto,Fase del Proyecto,Estado del Proyecto,Presupuesto del Proyecto,Presupuesto Final Estimado,Desviación Presupuestaria,Duración Proyectada,Cantidad Gastada a la Fecha
2,HS FOR HEALTH PROF & HUMAN SERV-M,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,"CM,F&E",In-Progress,1952963,161120.0,-91.8,909.0,160217.0
2,STUYVESANT HS - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,"CM,F&E",In-Progress,780920,94213.0,-88.03,1094.0,93438.0
2,P.S. 225 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,"CM,F&E",In-Progress,1460742,739489.0,-49.75,729.0,733982.0
2,P.S. 225 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Control climático,Construction,In-Progress,3264430,3890512.0,-57.85,547.0,1376112.0
2,P.S. 225 - MANHATTAN,Mejoras Asociadas a Programas Académicos (RESOA),Transformaciones internas,Design,In-Progress,72000,59248.0,-77.02,138.0,16549.0
2,P.S. 225 - MANHATTAN,Mejoras Asociadas a Programas Académicos (RESOA),Transformaciones internas,Design,In-Progress,10326,1017.0,-90.15,125.0,1017.0
2,P.S. 225 - MANHATTAN,Mejoras Asociadas a Programas Académicos (RESOA),Transformaciones internas,Construction,In-Progress,3443514,2483807.0,-99.91,539.0,3107.0
2,P.S. 225 - MANHATTAN,Mejoras Asociadas a Programas Académicos (RESOA),Transformaciones internas,"CM,F&E",In-Progress,234785,20331.0,-91.34,539.0,20331.0
2,P.S. 59 - MANHATTAN,Mejoras Asociadas a Programas Académicos (RESOA),Programas educativos,Construction,In-Progress,2856700,2702316.0,-86.93,539.0,373475.0
2,P.S. 59 - MANHATTAN,Mejoras Asociadas a Programas Académicos (RESOA),Infraestructura escolar,Design,In-Progress,30000,23847.0,-94.83,141.0,1550.0
2,BERGTRAUM HS - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,"CM,F&E",In-Progress,498330,310620.0,-43.08,729.0,283665.0
2,BERGTRAUM HS - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,"CM,F&E",In-Progress,1086024,66740.0,-93.85,729.0,66740.0
2,BERGTRAUM HS - MANHATTAN,Proyecto de Mejoramiento General (CIP),Transformaciones internas,Construction,In-Progress,2356875,2160426.0,-40.47,484.0,1403101.0
2,BERGTRAUM HS - MANHATTAN,Proyecto de Mejoramiento General (CIP),Transformaciones internas,"CM,F&E",In-Progress,146650,52740.0,-64.04,484.0,52740.0
2,BERGTRAUM HS - MANHATTAN,Proyecto de Mejoramiento General (CIP),Transformaciones internas,Design,In-Progress,419648,419648.0,-58.13,176.0,175727.0
2,BERGTRAUM HS - MANHATTAN,Proyecto de Mejoramiento General (CIP),Otro,Scope,In-Progress,75249,75249.0,-97.6,122.0,1808.0
2,3K CENTER @ 403 EAST 65 STREET - MANHATTAN,Adecuaciones para Educación Inicial 3K,Otro,"CM,F&E",In-Progress,1887927,574921.0,-38.17,321.0,1167229.0
2,3K CENTER @ 1010 THIRD AVENUE - MANHATTAN,Adecuaciones para Educación Inicial 3K,Otro,"CM,F&E",In-Progress,2149267,711945.0,-32.34,188.0,1454152.0
2,MANHATTAN BRIDGES - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,"CM,F&E",In-Progress,1196615,917447.0,-24.73,729.0,900687.0
2,MURRAY HILL ACADEMY HS - M,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,"CM,F&E",In-Progress,1208621,1065739.0,-13.69,1094.0,1043144.0
2,MURRAY HILL ACADEMY HS - M,Proyecto de Mejoramiento General (CIP),Otro,Construction,In-Progress,472120,483127.0,-19.94,269.0,378000.0
2,MURRAY HILL ACADEMY HS - M,Proyecto de Mejoramiento General (CIP),Otro,"CM,F&E",In-Progress,205263,180212.0,-14.5,269.0,175493.0
2,NEW YORK HARBOR SCHOOL ANNEX - MANHATTAN,Mejoras en Sedes Arrendadas,Otro,"CM,F&E",In-Progress,5732228,2842105.0,-95.75,745.0,243424.0
2,CITY-AS-SCHOOL - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,"CM,F&E",In-Progress,1938432,649984.0,-67.13,909.0,637185.0
2,CITY-AS-SCHOOL - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Construction,In-Progress,243600,220260.0,-98.46,299.0,3760.0
2,CITY-AS-SCHOOL - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,"CM,F&E",In-Progress,45150,24168.0,-96.7,299.0,1488.0
2,THE HIGH SCHOOL FOR CLIMATE JUSTICE,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,"CM,F&E",In-Progress,525546,215762.0,-58.97,729.0,215626.0
2,SCHOOL OF THE FUTURE - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Construction,In-Progress,359600,325817.0,-37.19,299.0,225857.0
2,SCHOOL OF THE FUTURE - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,"CM,F&E",In-Progress,189922,175067.0,-35.93,299.0,121692.0
2,SCHOOL OF THE FUTURE - MANHATTAN,Mejoras Asociadas a Programas Académicos (RESOA),Transformaciones internas,Design,In-Progress,30000,39276.0,-60.99,139.0,11702.0
2,MILLENNIUM HS - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,"CM,F&E",In-Progress,1044922,649943.0,-75.78,599.0,253109.0
2,HS FOR ENVIRONMENTAL STUDIES - M,Proyecto de Mejoramiento General (CIP),Otro,Construction,In-Progress,2840625,2714609.0,-16.24,547.0,2379171.0
2,HS FOR ENVIRONMENTAL STUDIES - M,Mejoras Asociadas a Programas Académicos (RESOA),Programas educativos,Design,In-Progress,42000,37669.0,-10.31,156.0,37669.0
2,M721 SPED - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,In-Progress,208429,208429.0,-96.68,155.0,6927.0
2,MANHATTAN VILLAGE ACADEMY - M,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Construction,In-Progress,192950,173804.0,-97.56,329.0,4702.0
2,SATELLITE ACADEMY - M,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Construction,In-Progress,277240,262618.0,-44.52,299.0,153824.0
2,SATELLITE ACADEMY - M,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,"CM,F&E",In-Progress,153291,140567.0,-66.59,299.0,51208.0
3,P.S. 9 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Control climático,"CM,F&E",In-Progress,533487,448409.0,-16.74,729.0,444198.0
3,P.S. 334 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,"CM,F&E",In-Progress,1345280,107417.0,-92.1,729.0,106288.0
3,I.S. 54 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,"CM,F&E",In-Progress,1000860,39288.0,-96.07,729.0,39288.0
3,P.S. 75 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Construction,In-Progress,278400,247110.0,-99.35,299.0,1810.0
3,P.S. 75 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,"CM,F&E",In-Progress,55864,34398.0,-84.82,299.0,8478.0
3,P.S. 76 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,"CM,F&E",In-Progress,994770,575810.0,-44.02,909.0,556904.0
3,P.S. 76 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Construction,In-Progress,288840,260132.0,-91.36,364.0,24948.0
3,P.S. 76 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,"CM,F&E",In-Progress,134058,110036.0,-50.39,364.0,66512.0
3,P.S. 87 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,"CM,F&E",In-Progress,2081581,1550515.0,-28.04,899.0,1497922.0
3,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,"CM,F&E",In-Progress,1104652,252503.0,-77.36,729.0,250052.0
3,P.S. 241 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,"CM,F&E",In-Progress,538335,365889.0,-33.65,539.0,357163.0
3,P.S. 333 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Control climático,Construction,In-Progress,630692,567160.0,-99.47,364.0,3368.0
3,P.S. 333 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Control climático,"CM,F&E",In-Progress,116896,81748.0,-89.67,364.0,12071.0
