Tipo Proyecto,Categoria Proyecto,Fase del Proyecto,Presupuesto del Proyecto,Presupuesto Final Estimado,Desviación Presupuestaria,Duración Proyectada,Gasto a la Fecha Estimado,Probabilidad,Impacto,Cantidad Real Gastada
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,190360,175422.0,-39.19,137.0,121559.18,2.9647712418300647,3.3494444444444444,115751.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,7019,11672.0,66.29,127.0,9700.97,2.8899999999999997,3.2891666666666666,11672.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,31586,28596.0,-14.32,114.0,24021.16,3.018,3.618333333333333,27063.0
Mejoras Asociadas a Programas Académicos (RESOA),Infraestructura escolar,Design,45000,49395.0,4.21,155.0,37086.09,2.997882352941176,3.5455555555555556,46894.0
Proyecto de Mejoramiento General (CIP),Control climático,Scope,60358,62272.0,3.17,154.0,47720.56,2.968333333333333,3.3241666666666667,62272.0
Proyecto de Mejoramiento General (CIP),Control climático,Design,294168,282565.0,-10.57,159.0,243295.06,3.1579999999999995,3.7333333333333334,263071.0
Proyecto de Mejoramiento General (CIP),Transformaciones internas,Design,53550,118629.0,-6.94,133.0,73871.8,3.018,3.618333333333333,49832.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,46285,42360.0,-8.48,138.0,36506.85,2.968333333333333,3.3241666666666667,42360.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,224497,186291.0,-24.33,159.0,171265.17,3.1579999999999995,3.7333333333333334,169881.0
Proyecto de Mejoramiento General (CIP),Infraestructura escolar,Scope,24894,61170.0,145.72,92.0,23566.62,2.8899999999999997,3.2891666666666666,61170.0
Proyecto de Mejoramiento General (CIP),Infraestructura escolar,Design,124469,133611.0,-1.68,137.0,105597.59,2.997882352941176,3.5455555555555556,122383.0
Proyecto de Mejoramiento General (CIP),Infraestructura escolar,Scope,7313,14418.0,-91.9,124.0,1124.13,2.8899999999999997,3.2891666666666666,592.0
Proyecto de Mejoramiento General (CIP),Infraestructura escolar,Design,32908,32716.0,-92.8,130.0,3024.22,2.997882352941176,3.5455555555555556,2368.0
Mejoras Asociadas a Programas Académicos (RESOA),Transformaciones internas,Design,30000,34313.0,8.49,126.0,25581.09,3.018,3.618333333333333,32546.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,170028,184128.0,-25.67,140.0,128917.7,2.968333333333333,3.3241666666666667,126385.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Scope,89740,113807.0,26.82,139.0,79734.51,2.968333333333333,3.3241666666666667,113807.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Scope,5000,3925.0,-21.5,124.0,7893.09,2.8899999999999997,3.2891666666666666,3925.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,22500,15697.0,-30.24,179.0,12285.0,2.9396666666666667,3.583333333333333,15697.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,128000,189649.0,30.18,138.0,121310.47,2.968333333333333,3.3241666666666667,166630.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,603485,482898.0,-27.43,155.0,433170.32,3.1278823529411763,3.664444444444445,437950.0
Proyecto de Mejoramiento General (CIP),Control climático,Scope,164800,99880.0,-41.14,88.0,85416.0,2.9647712418300647,3.3494444444444444,96998.0
Proyecto de Mejoramiento General (CIP),Control climático,Design,824000,748032.0,-50.32,158.0,453502.9,3.1278823529411763,3.664444444444445,409377.0
Proyecto de Mejoramiento General (CIP),Infraestructura escolar,Scope,10500,19205.0,82.9,64.0,10564.81,2.8899999999999997,3.2891666666666666,19205.0
Proyecto de Mejoramiento General (CIP),Infraestructura escolar,Design,52500,110563.0,-30.2,123.0,58545.5,3.018,3.618333333333333,36644.0
Proyecto de Mejoramiento General (CIP),Infraestructura escolar,Scope,59010,87548.0,48.36,94.0,47886.52,2.968333333333333,3.3241666666666667,87548.0
Proyecto de Mejoramiento General (CIP),Infraestructura escolar,Design,236040,432892.0,79.08,138.0,315787.87,3.1579999999999995,3.7333333333333334,422707.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,20700,12378.0,-40.2,182.0,11022.92,2.9396666666666667,3.583333333333333,12378.0
Proyecto de Mejoramiento General (CIP),Control climático,Scope,8800,16275.0,84.94,121.0,9511.68,2.8899999999999997,3.2891666666666666,16275.0
Proyecto de Mejoramiento General (CIP),Control climático,Design,39600,51616.0,3.98,153.0,29989.39,3.018,3.618333333333333,41175.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Scope,4080,4526.0,10.93,119.0,9027.88,2.8899999999999997,3.2891666666666666,4526.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,18360,18106.0,-1.38,178.0,13863.98,2.9396666666666667,3.583333333333333,18106.0
Proyecto de Mejoramiento General (CIP),Otro,Scope,89722,116490.0,-93.88,177.0,11072.05,2.9647712418300647,3.3494444444444444,5490.0
Proyecto de Mejoramiento General (CIP),Control climático,Design,312400,422837.0,4.53,148.0,317845.36,3.0912156862745097,3.6222222222222222,326544.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,705001,610416.0,-15.01,152.0,530489.99,3.213,3.796666666666667,599177.0
Proyecto de Mejoramiento General (CIP),Control climático,Scope,9700,12384.0,27.67,122.0,9577.59,2.8899999999999997,3.2891666666666666,12384.0
Proyecto de Mejoramiento General (CIP),Control climático,Design,43650,40969.0,-8.75,153.0,34574.36,3.018,3.618333333333333,39829.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,182777,203386.0,11.28,182.0,152819.77,2.968333333333333,3.3241666666666667,203386.0
Mejoras Asociadas a Programas Académicos (RESOA),Infraestructura escolar,Design,90000,105109.0,12.32,121.0,70616.75,2.997882352941176,3.5455555555555556,101087.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,14940,10976.0,-26.53,177.0,9796.17,2.9396666666666667,3.583333333333333,10976.0
Proyecto de Mejoramiento General (CIP),Otro,Scope,29950,29110.0,-2.8,120.0,23840.09,2.968333333333333,3.3241666666666667,29110.0
Proyecto de Mejoramiento General (CIP),Otro,Design,149750,130820.0,-30.61,168.0,105727.62,2.997882352941176,3.5455555555555556,103916.0
Proyecto de Mejoramiento General (CIP),Infraestructura escolar,Design,112861,158408.0,7.43,133.0,99929.83,3.018,3.618333333333333,121247.0
Proyecto de Mejoramiento General (CIP),Otro,Design,76500,1371.0,-98.21,102.0,1633.0,3.018,3.618333333333333,1371.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,208115,236644.0,13.71,137.0,188267.34,3.1083333333333334,3.4391666666666665,236644.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,25974,22280.0,-14.22,181.0,19693.12,3.018,3.618333333333333,22280.0
Mejoras Asociadas a Programas Académicos (RESOA),Transformaciones internas,Scope,265,265.0,0.0,91.0,8925.96,2.8899999999999997,3.2891666666666666,265.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,205690,351001.0,57.52,179.0,302011.0,3.1083333333333334,3.4391666666666665,324001.0
Proyecto de Mejoramiento General (CIP),Infraestructura escolar,Scope,20798,34525.0,37.95,92.0,15890.82,2.9125490196078427,3.326111111111111,28690.0
Proyecto de Mejoramiento General (CIP),Infraestructura escolar,Design,103990,119636.0,9.57,137.0,89965.13,3.018,3.618333333333333,113945.0
Proyecto de Mejoramiento General (CIP),Infraestructura escolar,Scope,4073,673.0,-83.48,90.0,1032.78,2.8899999999999997,3.2891666666666666,673.0
Proyecto de Mejoramiento General (CIP),Otro,Scope,32500,25290.0,-22.18,120.0,21960.7,2.9647712418300647,3.3494444444444444,25290.0
Proyecto de Mejoramiento General (CIP),Otro,Design,162500,115123.0,-49.71,167.0,85246.34,3.018,3.618333333333333,81721.0
Proyecto de Mejoramiento General (CIP),Infraestructura escolar,Design,178968,373279.0,105.54,210.0,307480.6,3.018,3.618333333333333,367856.0
Proyecto de Mejoramiento General (CIP),Control climático,Scope,9680,16580.0,71.28,123.0,9769.8,2.8899999999999997,3.2891666666666666,16580.0
Proyecto de Mejoramiento General (CIP),Control climático,Design,43560,97429.0,-0.81,152.0,37926.23,3.018,3.618333333333333,43208.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Scope,157770,183993.0,16.62,135.0,135816.63,2.9647712418300647,3.3494444444444444,183993.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,788850,466404.0,-51.33,169.0,395026.89,3.1278823529411763,3.664444444444445,383894.0
Proyecto de Mejoramiento General (CIP),Infraestructura escolar,Scope,29151,46114.0,56.99,92.0,25948.18,2.9647712418300647,3.3494444444444444,45764.0
Mejoras Asociadas a Programas Académicos (RESOA),Transformaciones internas,Design,31200,44007.0,1.42,139.0,26705.31,3.018,3.618333333333333,31642.0
Proyecto de Mejoramiento General (CIP),Control climático,Scope,51235,85011.0,65.92,153.0,45799.81,2.968333333333333,3.3241666666666667,85011.0
Proyecto de Mejoramiento General (CIP),Control climático,Design,252730,359260.0,34.83,156.0,306211.55,3.1579999999999995,3.7333333333333334,340754.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,13056,8340.0,-36.12,156.0,7308.39,2.9396666666666667,3.583333333333333,8340.0
Proyecto de Mejoramiento General (CIP),Control climático,Design,11418,4719.0,-58.67,155.0,7164.93,2.9396666666666667,3.583333333333333,4719.0
Proyecto de Mejoramiento General (CIP),Infraestructura escolar,Scope,133261,144023.0,7.12,143.0,115518.02,2.9647712418300647,3.3494444444444444,142749.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,227002,351262.0,-2.39,139.0,302489.1,3.0581045751633984,3.4261111111111107,221575.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,457765,439412.0,-27.76,152.0,340988.74,3.163333333333333,3.5025,330692.0
Proyecto de Mejoramiento General (CIP),Control climático,Design,54636,18313.0,-66.48,154.0,16349.28,3.018,3.618333333333333,18313.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,748896,684258.0,-31.78,154.0,504865.61,3.213,3.796666666666667,510906.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,24300,4324.0,-82.21,182.0,3568.39,2.9396666666666667,3.583333333333333,4324.0
Proyecto de Mejoramiento General (CIP),Control climático,Scope,99750,93285.0,-6.48,159.0,84299.8,2.968333333333333,3.3241666666666667,93285.0
Proyecto de Mejoramiento General (CIP),Control climático,Design,399000,411435.0,0.2,154.0,356661.81,3.1579999999999995,3.7333333333333334,399792.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,89701,236653.0,153.97,178.0,115580.15,2.968333333333333,3.3241666666666667,227811.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,18612,4243.0,-77.2,182.0,3647.53,2.9396666666666667,3.583333333333333,4243.0
Proyecto de Mejoramiento General (CIP),Control climático,Scope,74140,85591.0,15.45,157.0,59906.61,2.968333333333333,3.3241666666666667,85591.0
Proyecto de Mejoramiento General (CIP),Control climático,Design,370700,353261.0,-10.2,206.0,316409.74,3.1579999999999995,3.7333333333333334,332901.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Scope,118408,201403.0,57.26,141.0,118325.15,2.9647712418300647,3.3494444444444444,186209.0
Proyecto de Mejoramiento General (CIP),Control climático,Scope,9899,16018.0,26.33,123.0,9555.18,2.8899999999999997,3.2891666666666666,12505.0
Proyecto de Mejoramiento General (CIP),Control climático,Design,44546,62362.0,5.95,153.0,38608.41,3.018,3.618333333333333,47196.0
Proyecto de Mejoramiento General (CIP),Proyectos ambientales,Design,71215,120171.0,25.22,153.0,79117.63,2.997882352941176,3.5455555555555556,89178.0
Mejoras Asociadas a Programas Académicos (RESOA),Infraestructura escolar,Design,67074,73513.0,7.28,157.0,54846.5,3.018,3.618333333333333,71958.0
Mejoras Asociadas a Programas Académicos (RESOA),Infraestructura escolar,Design,111956,159049.0,27.22,46.0,99488.8,3.018,3.618333333333333,142435.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,299610,282278.0,-8.25,153.0,245062.72,3.1579999999999995,3.7333333333333334,274885.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Scope,4440,5165.0,16.33,120.0,9053.53,2.8899999999999997,3.2891666666666666,5165.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,19980,20659.0,3.4,177.0,14738.26,2.9396666666666667,3.583333333333333,20659.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,32629,70153.0,21.57,138.0,27781.31,2.9647712418300647,3.3494444444444444,39666.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,146829,90327.0,-44.28,158.0,76162.58,2.997882352941176,3.5455555555555556,81818.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,586154,423577.0,-30.4,141.0,401199.88,3.163333333333333,3.5025,407985.0
Proyecto de Mejoramiento General (CIP),Transformaciones internas,Design,102871,114973.0,-4.38,122.0,88084.29,3.018,3.618333333333333,98370.0
Proyecto de Mejoramiento General (CIP),Infraestructura escolar,Design,177477,383958.0,92.62,124.0,310314.13,2.997882352941176,3.5455555555555556,341852.0
Proyecto de Mejoramiento General (CIP),Control climático,Scope,11680,16689.0,42.89,120.0,10241.23,2.8899999999999997,3.2891666666666666,16689.0
Proyecto de Mejoramiento General (CIP),Control climático,Design,52560,51366.0,-29.63,182.0,37491.61,3.018,3.618333333333333,36984.0
Mejoras Asociadas a Programas Académicos (RESOA),Transformaciones internas,Design,30000,34155.0,-97.8,138.0,1318.39,3.018,3.618333333333333,659.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,453950,369014.0,-26.24,154.0,331657.82,3.213,3.796666666666667,334825.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,16793,13824.0,-17.68,176.0,12205.58,2.9396666666666667,3.583333333333333,13824.0
Proyecto de Mejoramiento General (CIP),Transporte / movilidad,Design,114030,114612.0,-78.77,121.0,29203.26,3.018,3.618333333333333,24207.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,20088,34800.0,73.24,181.0,16312.1,2.9396666666666667,3.583333333333333,34800.0
Mejoras Asociadas a Programas Académicos (RESOA),Infraestructura escolar,Design,33000,37282.0,-78.14,151.0,7158.21,3.018,3.618333333333333,7213.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,233995,175679.0,-24.92,138.0,171510.72,3.1083333333333334,3.4391666666666665,175679.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Scope,62504,66335.0,-96.3,120.0,2595.85,2.968333333333333,3.3241666666666667,2315.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,308752,599947.0,-10.18,168.0,384490.88,3.1579999999999995,3.7333333333333334,277314.0
Mejoras Asociadas a Programas Académicos (RESOA),Infraestructura escolar,Design,60000,49909.0,-93.99,151.0,4096.07,3.018,3.618333333333333,3606.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,48803,53202.0,6.42,137.0,40353.11,2.9647712418300647,3.3494444444444444,51935.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,237462,223739.0,-7.22,156.0,193910.0,3.1579999999999995,3.7333333333333334,220329.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,24552,36231.0,47.57,181.0,22729.6,2.9396666666666667,3.583333333333333,36231.0
Mejoras Asociadas a Programas Académicos (RESOA),Transformaciones internas,Design,58500,39441.0,-88.26,140.0,6990.66,3.018,3.618333333333333,6869.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,310975,154253.0,-50.41,154.0,147738.76,3.0581045751633984,3.4261111111111107,154210.0
Mejoras Asociadas a Programas Académicos (RESOA),Infraestructura escolar,Design,90000,85736.0,-12.17,139.0,65194.16,3.018,3.618333333333333,79051.0
Mejoras Asociadas a Programas Académicos (RESOA),Sistemas de seguridad,Design,37500,40131.0,-40.98,178.0,24132.72,3.018,3.618333333333333,22131.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,16605,8500.0,-48.81,181.0,8371.89,2.9396666666666667,3.583333333333333,8500.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,43398,30858.0,-28.9,135.0,29830.16,2.9647712418300647,3.3494444444444444,30858.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,216989,225406.0,-24.29,154.0,174538.63,3.0912156862745097,3.6222222222222222,164286.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,29787,45260.0,51.95,90.0,25431.11,2.9647712418300647,3.3494444444444444,45260.0
Proyecto de Mejoramiento General (CIP),Infraestructura escolar,Scope,39758,77317.0,-97.63,92.0,1902.89,2.968333333333333,3.3241666666666667,942.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,23314,13564.0,-41.82,182.0,11491.51,2.9396666666666667,3.583333333333333,13564.0
Mejoras Asociadas a Programas Académicos (RESOA),Sistemas de seguridad,Design,24000,17454.0,-27.28,176.0,14355.51,2.9396666666666667,3.583333333333333,17454.0
Mejoras Asociadas a Programas Académicos (RESOA),Infraestructura escolar,Design,363000,278276.0,-23.34,136.0,251455.83,3.0912156862745097,3.6222222222222222,278276.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,112122,240930.0,114.88,137.0,119681.28,2.968333333333333,3.3241666666666667,240930.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,558225,645125.0,6.02,154.0,481635.49,3.1278823529411763,3.664444444444445,591822.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,37560,52316.0,34.6,139.0,28559.96,2.9647712418300647,3.3494444444444444,50554.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,187049,194311.0,-0.04,159.0,153517.4,2.997882352941176,3.5455555555555556,186977.0
Mejoras Asociadas a Programas Académicos (RESOA),Sistemas de seguridad,Design,24000,3772.0,-84.28,181.0,3283.99,2.9396666666666667,3.583333333333333,3772.0
Mejoras Asociadas a Programas Académicos (RESOA),Sistemas de seguridad,Design,28617,25075.0,-33.15,182.0,19829.47,3.018,3.618333333333333,19131.0
Mejoras Asociadas a Programas Académicos (RESOA),Transformaciones internas,Design,82267,92328.0,6.68,151.0,64229.16,3.018,3.618333333333333,87759.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,88790,175531.0,96.39,139.0,108223.87,2.9647712418300647,3.3494444444444444,174375.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,443950,489367.0,-8.9,154.0,392580.3,3.1579999999999995,3.7333333333333334,404423.0
Mejoras Asociadas a Programas Académicos (RESOA),Infraestructura escolar,Design,56339,72167.0,-17.29,125.0,40616.36,3.018,3.618333333333333,46597.0
Mejoras Asociadas a Programas Académicos (RESOA),Sistemas de seguridad,Design,27818,38788.0,39.43,176.0,26666.77,3.018,3.618333333333333,38788.0
Proyecto de Mejoramiento General (CIP),Infraestructura escolar,Scope,51736,85619.0,65.49,90.0,44810.2,2.9647712418300647,3.3494444444444444,85619.0
Proyecto de Mejoramiento General (CIP),Infraestructura escolar,Design,258680,177415.0,-41.98,143.0,149825.36,3.0912156862745097,3.6222222222222222,150076.0
Proyecto de Mejoramiento General (CIP),Infraestructura escolar,Design,13119,17666.0,34.66,121.0,10728.12,2.945660130718954,3.522222222222222,17666.0
Mejoras Asociadas a Programas Académicos (RESOA),Infraestructura escolar,Design,23061,35670.0,-77.95,139.0,4930.36,2.9396666666666667,3.583333333333333,5085.0
Mejoras Asociadas a Programas Académicos (RESOA),Infraestructura escolar,Design,10473,10473.0,-97.17,125.0,969.44,2.9396666666666667,3.583333333333333,296.0
Mejoras Asociadas a Programas Académicos (RESOA),Infraestructura escolar,Design,60000,64133.0,-93.12,125.0,5162.41,3.018,3.618333333333333,4126.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,108367,167122.0,49.65,137.0,102211.55,2.9647712418300647,3.3494444444444444,162169.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,534877,452586.0,-28.67,153.0,389594.04,3.213,3.796666666666667,381514.0
Proyecto de Mejoramiento General (CIP),Infraestructura escolar,Scope,28422,41564.0,-69.02,91.0,7965.39,2.9647712418300647,3.3494444444444444,8805.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,325236,248858.0,-23.97,139.0,223360.47,3.1083333333333334,3.4391666666666665,247293.0
Mejoras Asociadas a Programas Académicos (RESOA),Infraestructura escolar,Scope,889,889.0,0.0,94.0,8821.31,2.9125490196078427,3.326111111111111,889.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,391201,336675.0,-37.5,140.0,246243.63,3.1579999999999995,3.7333333333333334,244504.0
Proyecto de Mejoramiento General (CIP),Infraestructura escolar,Design,154346,178140.0,3.03,158.0,133916.19,2.997882352941176,3.5455555555555556,159024.0
Proyecto de Mejoramiento General (CIP),Infraestructura escolar,Scope,27634,48234.0,74.55,91.0,25948.5,2.968333333333333,3.3241666666666667,48234.0
Proyecto de Mejoramiento General (CIP),Infraestructura escolar,Design,138170,109769.0,-29.9,141.0,98781.07,3.018,3.618333333333333,96857.0
Mejoras Asociadas a Programas Académicos (RESOA),Programas educativos,Design,122580,77550.0,-38.42,153.0,70190.53,2.997882352941176,3.5455555555555556,75482.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,114450,180609.0,35.03,183.0,114323.64,3.018,3.618333333333333,154539.0
Mejoras Asociadas a Programas Académicos (RESOA),Transformaciones internas,Design,154815,87611.0,-52.85,154.0,73686.13,2.997882352941176,3.5455555555555556,72999.0
Mejoras Asociadas a Programas Académicos (RESOA),Infraestructura escolar,Design,380596,272198.0,-43.17,136.0,184658.87,3.0912156862745097,3.6222222222222222,216286.0
Mejoras Asociadas a Programas Académicos (RESOA),Infraestructura escolar,Scope,2220,2220.0,0.0,88.0,8821.31,2.9125490196078427,3.326111111111111,2220.0
Mejoras Asociadas a Programas Académicos (RESOA),Infraestructura escolar,Design,8881,8881.0,0.0,123.0,9350.98,2.945660130718954,3.522222222222222,8881.0
Mejoras Asociadas a Programas Académicos (RESOA),Sistemas de seguridad,Design,24000,9267.0,-61.39,182.0,9960.32,2.9396666666666667,3.583333333333333,9267.0
Mejoras Asociadas a Programas Académicos (RESOA),Infraestructura escolar,Design,98731,57501.0,-45.77,126.0,56731.5,3.018,3.618333333333333,53545.0
Mejoras Asociadas a Programas Académicos (RESOA),Transformaciones internas,Design,66110,70319.0,6.37,87.0,53814.89,2.997882352941176,3.5455555555555556,70319.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,172980,232592.0,34.46,141.0,147462.08,2.9647712418300647,3.3494444444444444,232592.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,28224,12143.0,-56.98,182.0,13585.52,3.018,3.618333333333333,12143.0
Mejoras Asociadas a Programas Académicos (RESOA),Transformaciones internas,Design,30000,32039.0,4.46,138.0,25008.17,3.018,3.618333333333333,31337.0
Proyecto de Mejoramiento General (CIP),Otro,Design,542500,180886.0,-96.26,136.0,9603.29,3.213,3.796666666666667,20292.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,130463,57698.0,-71.44,139.0,34949.39,2.968333333333333,3.3241666666666667,37263.0
Mejoras Asociadas a Programas Académicos (RESOA),Transformaciones internas,Scope,83824,83824.0,0.0,92.0,63151.66,2.968333333333333,3.3241666666666667,83824.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,403971,363933.0,-10.66,181.0,357988.87,3.1083333333333334,3.4391666666666665,360892.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Scope,19190,49366.0,157.25,91.0,16153.11,2.8899999999999997,3.2891666666666666,49366.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,76759,70547.0,-17.82,185.0,61578.94,2.997882352941176,3.5455555555555556,63080.0
Proyecto de Mejoramiento General (CIP),Otro,Design,182499,272012.0,11.49,143.0,155619.95,3.018,3.618333333333333,203468.0
Proyecto de Mejoramiento General (CIP),Otro,Design,211200,239940.0,-25.38,119.0,172528.19,3.0912156862745097,3.6222222222222222,157605.0
Mejoras Asociadas a Programas Académicos (RESOA),Infraestructura escolar,Design,225570,106066.0,-54.27,141.0,98115.04,3.0912156862745097,3.6222222222222222,103164.0
Mejoras Asociadas a Programas Académicos (RESOA),Infraestructura escolar,Scope,1354,1354.0,0.0,91.0,8821.31,2.9125490196078427,3.326111111111111,1354.0
Mejoras Asociadas a Programas Académicos (RESOA),Transformaciones internas,Design,72000,57871.0,-87.07,113.0,9505.61,3.018,3.618333333333333,9307.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,21987,21606.0,-1.73,139.0,14419.57,2.8899999999999997,3.2891666666666666,21606.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Scope,72617,123897.0,70.53,154.0,82844.62,2.968333333333333,3.3241666666666667,123835.0
Proyecto de Mejoramiento General (CIP),Otro,Scope,18067,33365.0,84.67,138.0,14545.7,2.8899999999999997,3.2891666666666666,33365.0
Proyecto de Mejoramiento General (CIP),Otro,Design,90336,132795.0,9.34,154.0,92325.35,3.018,3.618333333333333,98771.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,281335,345203.0,22.7,158.0,302536.21,3.1579999999999995,3.7333333333333334,345203.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,71503,115650.0,61.65,139.0,75202.84,2.968333333333333,3.3241666666666667,115588.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,348241,320416.0,-22.4,155.0,269375.12,3.1579999999999995,3.7333333333333334,270250.0
Mejoras Asociadas a Programas Académicos (RESOA),Sistemas de seguridad,Design,30000,27384.0,-8.72,176.0,24636.71,3.018,3.618333333333333,27384.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,15705,6474.0,-58.78,181.0,7885.2,2.9396666666666667,3.583333333333333,6474.0
Proyecto de Mejoramiento General (CIP),Infraestructura escolar,Scope,15993,40243.0,-1.64,221.0,15916.49,2.8899999999999997,3.2891666666666666,15730.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Scope,5500,5541.0,0.75,123.0,9053.53,2.8899999999999997,3.2891666666666666,5541.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,24750,22162.0,-10.46,178.0,19875.74,2.9396666666666667,3.583333333333333,22162.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,120306,125177.0,-7.8,138.0,103929.77,2.9647712418300647,3.3494444444444444,110918.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,601528,403203.0,-41.56,153.0,360661.87,3.213,3.796666666666667,351513.0
Mejoras Asociadas a Programas Académicos (RESOA),Infraestructura escolar,Design,21983,34555.0,27.12,140.0,16269.15,2.9396666666666667,3.583333333333333,27945.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,149604,171157.0,14.39,109.0,130145.68,2.9647712418300647,3.3494444444444444,171135.0
Proyecto de Mejoramiento General (CIP),Otro,Scope,18206,12613.0,-30.72,109.0,10241.36,2.9125490196078427,3.326111111111111,12613.0
Proyecto de Mejoramiento General (CIP),Otro,Design,81926,54764.0,-36.21,168.0,47438.16,2.997882352941176,3.5455555555555556,52258.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,96467,170017.0,34.78,153.0,104067.42,3.018,3.618333333333333,130016.0
Proyecto de Mejoramiento General (CIP),Control climático,Scope,59720,84751.0,41.91,153.0,48934.79,2.968333333333333,3.3241666666666667,84751.0
