Distrito Geografico,Nombre Escuela,Tipo Proyecto,Categoria Proyecto,Fase del Proyecto,Estado del Proyecto,Presupuesto del Proyecto,Presupuesto Final Estimado,Desviación Presupuestaria,Duración Proyectada,Duración Real,Retraso,Cantidad Real Gastada
2,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Scope,Complete,198200,239364.0,-3.87,120.0,302.0,182.0,190528.0
2,HS FOR HEALTH PROF & HUMAN SERV-M,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Scope,Complete,37305,99671.0,167.18,253.0,159.0,-94.0,99671.0
2,HS FOR HEALTH PROF & HUMAN SERV-M,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,Complete,180483,354828.0,96.6,246.0,384.0,138.0,354828.0
2,P.S. 225 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,Complete,198437,442128.0,112.38,137.0,326.0,189.0,421448.0
2,P.S. 225 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Control climático,Scope,Complete,32665,47985.0,46.9,131.0,460.0,329.0,47985.0
2,P.S. 225 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Control climático,Design,Complete,159563,219339.0,15.02,154.0,289.0,135.0,183527.0
2,P.S. 225 - MANHATTAN,Mejoras Asociadas a Programas Académicos (RESOA),Transformaciones internas,Design,Complete,234785,93740.0,-61.86,140.0,223.0,83.0,89548.0
2,J. K. ONASSIS HS FOR INT CAREERS-M,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,Complete,90044,180570.0,100.54,141.0,179.0,38.0,180570.0
2,J. K. ONASSIS HS FOR INT CAREERS-M,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,Complete,437233,342685.0,-25.85,153.0,445.0,292.0,324197.0
2,BERGTRAUM HS - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,Complete,71190,119477.0,67.83,90.0,170.0,80.0,119477.0
2,BERGTRAUM HS - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,Complete,355950,354107.0,-10.9,154.0,213.0,59.0,317163.0
2,BERGTRAUM HS - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,Complete,151512,92010.0,-39.27,136.0,111.0,-25.0,92010.0
2,BERGTRAUM HS - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,Complete,754168,431668.0,-51.65,155.0,168.0,13.0,364624.0
2,BERGTRAUM HS - MANHATTAN,Proyecto de Mejoramiento General (CIP),Transformaciones internas,Scope,Complete,20950,7327.0,-65.03,65.0,187.0,122.0,7327.0
2,BERGTRAUM HS - MANHATTAN,Proyecto de Mejoramiento General (CIP),Transformaciones internas,Design,Complete,104750,164762.0,26.87,122.0,136.0,14.0,132899.0
2,BERGTRAUM HS - MANHATTAN,Proyecto de Mejoramiento General (CIP),Transformaciones internas,Scope,Complete,83930,143676.0,71.19,172.0,162.0,-10.0,143676.0
2,3K CENTER @ 403 EAST 65 STREET - MANHATTAN,Adecuaciones para Educación Inicial 3K,Otro,Scope,Complete,216951,326093.0,-7.11,50.0,91.0,41.0,201529.0
2,3K CENTER @ 1010 THIRD AVENUE - MANHATTAN,Adecuaciones para Educación Inicial 3K,Otro,Scope,Complete,268658,265086.0,-8.04,28.0,35.0,7.0,247062.0
2,MANHATTAN BRIDGES - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,Complete,160567,133507.0,-16.85,141.0,76.0,-65.0,133507.0
2,MANHATTAN BRIDGES - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,Complete,793146,547862.0,-34.7,150.0,100.0,-50.0,517894.0
32,BUSHWICK LEADERS - K,Proyecto de Mejoramiento General (CIP),Transformaciones internas,Design,Complete,53059,1269.0,-97.61,263.0,330.0,67.0,1269.0
2,MURRAY HILL ACADEMY HS - M,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,Complete,176283,197110.0,11.81,144.0,206.0,62.0,197110.0
2,MURRAY HILL ACADEMY HS - M,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Scope,Complete,258990,138919.0,-46.36,126.0,148.0,22.0,138919.0
2,MURRAY HILL ACADEMY HS - M,Proyecto de Mejoramiento General (CIP),Otro,Scope,Complete,8140,11138.0,36.83,124.0,98.0,-26.0,11138.0
2,MURRAY HILL ACADEMY HS - M,Proyecto de Mejoramiento General (CIP),Otro,Design,Complete,36630,40339.0,-0.1,159.0,174.0,15.0,36594.0
2,CITY-AS-SCHOOL - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,Complete,266212,259278.0,-3.11,138.0,225.0,87.0,257923.0
2,CITY-AS-SCHOOL - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,Complete,18900,11134.0,-41.09,177.0,44.0,-133.0,11134.0
