Distrito Geografico,Nombre Escuela,Tipo de Proyecto,Descripción del Proyecto,Fase del Proyecto,Estado del Proyecto,Presupuesto del Proyecto,Presupuesto Final Estimado,Cantidad Real Gastada,Duración Proyectada,Desviación Presupuestaria
2,LOWER MANHATTAN ARTS - MANHATTAN,SCA CIP RESOA,FY21 RESO A AUDITORIUM UPGRADE / PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Construction,In-Progress,1839200,1744481.0,1501622.0,364.0,-18.35
2,LOWER MANHATTAN ARTS - MANHATTAN,SCA CIP RESOA,FY21 RESO A AUDITORIUM UPGRADE / PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,"CM,F&E",In-Progress,125400,65402.0,60084.0,364.0,-52.09
2,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,SCA CIP,COVID VENTILATION / COVID CLIMATE CONTROL / COVID LOW VOLTAGE ELECTRICAL SYSTEM,Construction,In-Progress,22297501,21214727.0,3024154.0,729.0,-86.44
2,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,SCA CIP,COVID VENTILATION / COVID CLIMATE CONTROL / COVID LOW VOLTAGE ELECTRICAL SYSTEM,"CM,F&E",In-Progress,1387695,288485.0,286443.0,729.0,-79.36
2,HS FOR HEALTH PROF & HUMAN SERV-M,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES / LOW-VOLTAGE ELECTRICAL SYSTEM,Construction,In-Progress,3537910,3670397.0,3517034.0,486.0,-0.59
2,HS FOR HEALTH PROF & HUMAN SERV-M,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES / LOW-VOLTAGE ELECTRICAL SYSTEM,"CM,F&E",In-Progress,306482,214151.0,214151.0,486.0,-30.13
2,HS FOR HEALTH PROF & HUMAN SERV-M,SCA CIP,AUDITORIUM UPGRADE / ROOFS / PATH OF TRAVEL AUDITORIUM UPGRADE / PARAPETS / EXTERIOR MASONRY / WINDOWS,Construction,In-Progress,31177883,28109430.0,2192068.0,909.0,-92.97
2,HS FOR HEALTH PROF & HUMAN SERV-M,SCA CIP,AUDITORIUM UPGRADE / ROOFS / PATH OF TRAVEL AUDITORIUM UPGRADE / PARAPETS / EXTERIOR MASONRY / WINDOWS,"CM,F&E",In-Progress,1952963,161120.0,160217.0,909.0,-91.8
2,STUYVESANT HS - MANHATTAN,SCA CIP,COOLING TOWER REPLACEMENT / VENTILATION / LOW VOLTAGE ELECTRICAL SYSTEM / BMS UPGRADE,Construction,In-Progress,12550500,11267633.0,5261932.0,1094.0,-58.07
2,STUYVESANT HS - MANHATTAN,SCA CIP,COOLING TOWER REPLACEMENT / VENTILATION / LOW VOLTAGE ELECTRICAL SYSTEM / BMS UPGRADE,"CM,F&E",In-Progress,780920,94213.0,93438.0,1094.0,-88.03
