Distrito Geografico,ID Edificio,Nombre Escuela,Tipo de Proyecto,Descripción del Proyecto,Fase del Proyecto,Estado del Proyecto,Fecha de Inicio,Fecha de Fin Proyectada,Fecha de Fin Real,Presupuesto del Proyecto,Presupuesto Final Estimado,Cantidad Real Gastada
31,R072,I.S. 72 - STATEN ISLAND,SCA CIP,CERTIFICATE OF OCCUPANCY / CHILLER REPLACEMENT,Scope,Complete,2/13/2019,7/15/2019,2/12/2020,92360,110022.0,110022.0
31,R072,I.S. 72 - STATEN ISLAND,SCA CIP,CERTIFICATE OF OCCUPANCY / CHILLER REPLACEMENT,Design,Complete,9/9/2021,2/14/2022,4/15/2022,461800,329496.0,303084.0
31,R072,I.S. 72 - STATEN ISLAND,SCA CIP,PLAYGROUND UPGRADE,Scope,Complete,5/24/2024,8/26/2024,8/28/2024,66586,58554.0,1930.0
31,R072,I.S. 72 - STATEN ISLAND,SCA CIP,IDA FLOOD ELIMINATION / CONCRETE PARAPET WALL / IDA INTERIOR SPACES / EXTERIOR MASONRY / ROOFS,Scope,Complete,1/28/2022,9/23/2022,1/20/2023,168263,245277.0,237850.0
31,R072,I.S. 72 - STATEN ISLAND,SCA CIP,IDA FLOOD ELIMINATION / CONCRETE PARAPET WALL / IDA INTERIOR SPACES / EXTERIOR MASONRY / ROOFS,Design,Complete,1/31/2023,7/3/2023,9/20/2023,836921,755045.0,503888.0
31,R075,I.S. 75 - STATEN ISLAND,SCA CIP,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,Scope,Complete,11/29/2021,5/2/2022,2/23/2022,104190,54160.0,54160.0
31,R075,I.S. 75 - STATEN ISLAND,SCA CIP,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,Design,Complete,2/25/2022,7/27/2022,5/12/2022,520950,293710.0,235333.0
31,R075,I.S. 75 - STATEN ISLAND,SCA CIP,FY17 RESO A GREENHOUSE / FLOOD ELIMINATION / PARAPETS / WINDOWS / EXTERIOR MASONRY / PAVED AREAS- CONCRETE / ROOFS / FY20 RESO A PLAYGROUND UPGRADE,Scope,Complete,5/24/2017,6/9/2020,5/26/2021,214034,453539.0,445514.0
31,R075,I.S. 75 - STATEN ISLAND,SCA CIP,FY17 RESO A GREENHOUSE / FLOOD ELIMINATION / PARAPETS / WINDOWS / EXTERIOR MASONRY / PAVED AREAS- CONCRETE / ROOFS / FY20 RESO A PLAYGROUND UPGRADE,Design,Complete,6/2/2021,10/18/2021,2/15/2022,1025603,1076037.0,888369.0
31,R082,THE EAGLE ACADEMY FOR YOUNG MEN OF STATEN ISLAND - R,SCA CIP,STEAM PIPE REPLACEMENT,Scope,Complete,2/23/2024,7/25/2024,7/25/2024,14207,1229.0,1229.0
31,R110,THE RICHMOND PRE-K CENTER,SCA CIP,IDA FLOOD ELIMINATION / IDA INTERIOR SPACES / PATH OF TRAVEL IDA INTERIOR SPACES,Scope,Complete,4/8/2022,11/16/2023,9/14/2023,27675,45387.0,14403.0
31,R110,THE RICHMOND PRE-K CENTER,SCA CIP,IDA FLOOD ELIMINATION / IDA INTERIOR SPACES / PATH OF TRAVEL IDA INTERIOR SPACES,Design,Complete,9/27/2023,2/2/2024,12/15/2023,124535,97833.0,84883.0
31,R119,R025 SPED - STATEN ISLAND,SCA CIP,PHASE II RENOVATIONS / PATH OF TRAVEL WORK FOR R119 LEASED SITE,Scope,Complete,4/28/2021,1/18/2022,4/20/2022,26871,54728.0,50020.0
31,R119,R025 SPED - STATEN ISLAND,SCA CIP,PHASE II RENOVATIONS / PATH OF TRAVEL WORK FOR R119 LEASED SITE,Design,Complete,4/20/2022,9/1/2022,3/6/2023,133620,193189.0,146252.0
31,R121,P.S. @ 4074 VICTORY BLVD - STATEN ISLAND,SCA Capacity,NEW SCHOOL,Scope,Complete,3/25/2021,8/12/2021,8/27/2021,1537800,987269.0,951682.0
31,R121,P.S. @ 4074 VICTORY BLVD - STATEN ISLAND,SCA Capacity,NEW SCHOOL,Design,Complete,8/30/2021,4/25/2022,9/2/2022,6920100,3363484.0,2210198.0
31,R122,P.S. 13 ANNEX - STATEN ISLAND,SCA Capacity,NEW SCHOOL,Scope,Complete,3/28/2023,9/5/2023,9/5/2023,1337500,928181.0,922484.0
31,R122,P.S. 13 ANNEX - STATEN ISLAND,SCA Capacity,NEW SCHOOL,Design,Complete,9/6/2023,3/29/2024,5/6/2024,6018750,1304649.0,1160187.0
31,R122,P.S. 13 ANNEX - STATEN ISLAND,SCA CIP,DEMOLITION,Scope,Complete,3/28/2023,3/28/2023,3/28/2023,23890,36871.0,20397.0
31,R122,P.S. 13 ANNEX - STATEN ISLAND,SCA CIP,DEMOLITION,Design,Complete,3/28/2023,9/15/2023,9/22/2023,119450,248432.0,196953.0
31,R123,I.S./H.S. @ 45 CLEVELAND PLACE - STATEN ISLAND,SCA CIP,DEMOLITION,Scope,Complete,3/19/2024,8/1/2024,7/25/2024,778932,993162.0,991791.0
31,R125,P.S./I.S. @ 27 LANDIS AVENUE - STATEN ISLAND,SCA Capacity,NEW SCHOOL,Scope,Complete,3/19/2024,10/3/2024,9/26/2024,1797314,1091025.0,546659.0
31,R126,ANNEX @ 57 CLEVELAND PLACE - STATEN ISLAND,SCA CIP,DEMOLITION,Scope,Complete,7/21/2023,7/21/2023,7/21/2023,94980,119788.0,118774.0
31,R126,ANNEX @ 57 CLEVELAND PLACE - STATEN ISLAND,SCA CIP,DEMOLITION,Design,Complete,7/21/2023,12/15/2023,5/13/2024,474900,910062.0,22295.0
31,R128,ATHLETIC FIELD @ 45 CLEVELAND PLACE - STATEN ISLAND,SCA Capacity,ATHLETIC FIELD & FINAL SITEWORK @ 57 CLEVELAND PLACE,Scope,Complete,3/19/2024,8/1/2024,7/25/2024,361935,645706.0,645706.0
31,R435,NEW DORP HS - STATEN ISLAND,SCA CIP,PARAPETS / EXTERIOR MASONRY / ROOFS,Scope,Complete,7/19/2019,12/5/2019,12/23/2019,294742,400910.0,400910.0
31,R435,NEW DORP HS - STATEN ISLAND,SCA CIP,PARAPETS / EXTERIOR MASONRY / ROOFS,Design,Complete,1/8/2020,6/9/2020,6/25/2020,1473705,1334586.0,1294447.0
31,R435,NEW DORP HS - STATEN ISLAND,SCA CIP,SCIENCE LAB UPGRADES,Scope,Complete,10/7/2021,2/28/2022,1/24/2022,26467,40301.0,40301.0
31,R435,NEW DORP HS - STATEN ISLAND,SCA CIP,SCIENCE LAB UPGRADES,Design,Complete,2/2/2022,8/4/2022,10/5/2022,132335,129147.0,129147.0
31,R435,NEW DORP HS - STATEN ISLAND,SCA CIP,HOT WATER HEATER REPLACEMENT / AIR CONDITIONING / COVID VENTILATION / COVID BMS REPLACEMENT,Scope,Complete,1/11/2019,12/4/2020,6/4/2021,110078,107608.0,104122.0
31,R435,NEW DORP HS - STATEN ISLAND,SCA CIP,HOT WATER HEATER REPLACEMENT / AIR CONDITIONING / COVID VENTILATION / COVID BMS REPLACEMENT,Design,Complete,6/15/2021,11/15/2021,2/3/2022,543998,455218.0,397345.0
31,R440,STATEN ISLAND TECHNICAL HS - R,SCA CIP,REINFORCING SUPPORT ELEMENTS,Scope,Complete,9/28/2023,2/16/2024,12/22/2023,16458,26659.0,26195.0
31,R440,STATEN ISLAND TECHNICAL HS - R,SCA CIP,REINFORCING SUPPORT ELEMENTS,Design,Complete,1/8/2024,6/7/2024,4/25/2024,82291,50393.0,16407.0
31,R440,STATEN ISLAND TECHNICAL HS - R,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,5/12/2022,9/12/2022,5/31/2022,6400,5308.0,5308.0
31,R440,STATEN ISLAND TECHNICAL HS - R,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,5/31/2022,11/25/2022,8/31/2022,28800,21229.0,21229.0
31,R445,PORT RICHMOND HS - R,SCA CIP,COVID VENTILATION / COVID CLIMATE CONTROL,Scope,Complete,8/5/2020,12/4/2020,3/1/2021,85860,40881.0,40881.0
31,R445,PORT RICHMOND HS - R,SCA CIP,COVID VENTILATION / COVID CLIMATE CONTROL,Design,Complete,3/3/2021,8/13/2021,1/24/2022,429300,379259.0,304385.0
31,R450,CURTIS HS - STATEN ISLAND,SCA CIP,COVID VENTILATION,Scope,Complete,8/26/2020,12/24/2020,4/27/2021,36280,108372.0,108372.0
31,R450,CURTIS HS - STATEN ISLAND,SCA CIP,COVID VENTILATION,Design,Complete,5/25/2021,10/19/2021,11/8/2021,181400,351083.0,308323.0
31,R455,TOTTENVILLE HS - STATEN ISLAND,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Scope,Complete,3/2/2022,7/15/2022,1/3/2023,117350,134324.0,134324.0
